model,best_score_thr,precision,recall,f1,tp,fp,fn
grounding_dino,0.0,0.785024154589372,0.4098360655737705,0.5385252692626346,325,89,468
yolo,0.3,0.40700808625336926,0.38083228247162676,0.393485342019544,302,440,491
