model,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR_100
grounding_dino,0.334826120492659,0.37440056173673836,0.35061086650234197,0.029074638233054072,0.09377717229245572,0.745181976166054,0.3740226986128626
yolo,0.18541519919311197,0.2548515535392332,0.19700120492927775,0.05223451268132229,0.13284315897277493,0.35047160629356355,0.3119798234552333
